id,contract_reference,payment_date,type,amount_paid
266703,C696040013,2022-01-21T13:15:33.561412,,100.00
266747,C45090016,2022-01-22T10:12:34.509282,,109.00
267523,C654200013,2022-01-22T18:49:03.353019,,30.00
268471,C63730014,2022-01-23T17:23:53.138531,,1000.00
268524,C680810017,2022-01-23T17:42:37.789471,,70.00
268706,C654200013,2022-01-23T19:19:45.699651,,30.00
269047,C45230018,2022-01-24T06:15:58.942611,,60.00
269306,C678290016,2022-01-24T07:31:05.98102,,100.00
270314,C44620011,2022-01-24T12:08:28.694916,,600.00
271846,C277970018,2022-01-25T06:30:40.250856,,600.00
271870,C696820018,2022-01-25T06:37:48.1109,,25.00
271985,C675700017,2022-01-25T07:13:25.785918,,60.00
273710,C45230018,2022-01-25T17:11:31.531977,,127.00
273855,C70700018,2022-01-25T17:50:52.664915,,100.00
273912,C696040013,2022-01-25T18:12:47.35163,,100.00
274083,C654200013,2022-01-25T19:52:15.438747,,90.00
274530,C670500016,2022-01-26T06:04:27.765132,,669.00
275634,C55560015,2022-01-26T10:23:08.10805,,500.00
275927,C45540010,2022-01-26T11:55:42.579155,,500.00
276187,C692650013,2022-01-26T13:14:29.016528,,100.00
276867,C689240018,2022-01-26T18:14:58.653451,,100.00
279541,C55130017,2022-01-27T14:11:14.341549,,400.00
280054,C75810010,2022-01-27T17:59:36.285613,,2000.00
282620,C77920015,2022-01-28T17:17:13.982948,,1000.00
282871,C654200013,2022-01-28T19:06:11.274874,,30.00
283048,C696820018,2022-01-29T05:00:13.217381,,100.00
285459,C691960017,2022-01-30T15:00:20.411892,,30.00
285515,C678290016,2022-01-30T15:35:25.279153,,100.00
285802,C689240018,2022-01-30T17:35:17.210286,,200.00
285945,C654200013,2022-01-30T18:32:56.624038,,30.00
287174,C58720012,2022-01-31T10:54:14.339879,,500.00
288100,C696040013,2022-01-31T16:32:00.934228,,100.00
288111,C696040013,2022-01-31T16:34:53.737861,,120.00
289270,C647830017,2022-02-01T08:04:58.679275,,100.00
289855,C49710015,2022-01-31T18:05:47.875553,,2000.00
290352,C692650013,2022-02-01T13:29:16.267652,,100.00
290498,C49980014,2022-01-25T12:11:14.785363,,100.00
290901,C102110012,2022-02-01T16:53:35.629358,,180.00
292401,C72840010,2022-02-02T08:22:28.146164,Reversed Contract Payment,-62.00
292402,C72840010,2022-02-02T08:22:36.643077,Reversed Contract Payment,-62.00
292403,C72840010,2022-02-02T08:22:49.073437,Reversed Contract Payment,-62.00
292404,C72840010,2022-02-02T08:22:57.139566,Reversed Contract Payment,-62.00
